name,locations
basculin-blue-striped,striaton-city-area
basculin-blue-striped,pinwheel-forest-inside
basculin-blue-striped,dragonspiral-tower-outside
basculin-blue-striped,unova-victory-road-unknown-area-53
basculin-blue-striped,unova-victory-road-1f-unknown-room
basculin-blue-striped,giant-chasm-area
basculin-blue-striped,giant-chasm-forest-cave
basculin-blue-striped,village-bridge-area
basculin-blue-striped,unova-route-1-area
basculin-blue-striped,unova-route-3-area
basculin-blue-striped,wellspring-cave-area
basculin-blue-striped,unova-route-6-area
basculin-blue-striped,challengers-cave-b2f
basculin-blue-striped,unova-route-11-area
basculin-blue-striped,unova-route-13-area
basculin-blue-striped,unova-route-14-area
basculin-blue-striped,abundant-shrine-area
basculin-blue-striped,lostlorn-forest-area
basculin-blue-striped,undella-town-area
basculin-blue-striped,aspertia-city-area
basculin-blue-striped,humilau-city-area
basculin-blue-striped,unova-victory-road-2-unknown-area-71
basculin-blue-striped,unova-victory-road-2-unknown-area-73
basculin-blue-striped,unova-victory-road-2-unknown-area-75
basculin-blue-striped,unova-victory-road-2-unknown-area-78
basculin-blue-striped,unova-victory-road-2-unknown-area-79
basculin-blue-striped,floccesy-ranch-outer
basculin-blue-striped,floccesy-ranch-inner
basculin-blue-striped,relic-passage-relic-castle-entrance
basculin-blue-striped,clay-tunnel-area
basculin-blue-striped,nature-sanctuary-area
basculin-blue-striped,unova-route-19-area
basculin-blue-striped,unova-route-20-area
basculin-blue-striped,unova-route-22-area
basculin-blue-striped,unova-route-23-area
basculin-blue-striped,couriway-town-area
basculin-blue-striped,laverre-city-area
basculin-blue-striped,kalos-route-15-area
basculin-blue-striped,kalos-route-16-area
basculin-blue-striped,frost-cavern-unknown-area-313
basculin-blue-striped,frost-cavern-unknown-area-315
basculin-blue-striped,pokemon-village-area
basculin-blue-striped,kalos-victory-road-unknown-area-322
basculin-blue-striped,kalos-victory-road-unknown-area-327
basculin-blue-striped,kalos-victory-road-unknown-area-328
pumpkaboo-small,kalos-route-16-area
pumpkaboo-large,kalos-route-16-area
pumpkaboo-super,kalos-route-16-area
rattata-alola,alola-route-1-east
rattata-alola,alola-route-1-hauoli-outskirts
rattata-alola,alola-route-1-south
rattata-alola,alola-route-1-west
rattata-alola,alola-route-2-north
rattata-alola,alola-route-2-south
rattata-alola,alola-route-3-north
rattata-alola,alola-route-3-south
rattata-alola,alola-route-4-area
rattata-alola,alola-route-6-north
rattata-alola,alola-route-6-south
rattata-alola,alola-route-8-main
rattata-alola,hauoli-city-shopping-district
rattata-alola,kalae-bay-area
rattata-alola,verdant-cavern-trial-site
raticate-alola,alola-route-8-main
raticate-alola,alola-route-10-area
raticate-alola,alola-route-11-area
raticate-alola,alola-route-14-area
raticate-alola,alola-route-15-main
raticate-alola,alola-route-16-main
raticate-alola,alola-route-16-east
raticate-alola,alola-route-16-west
raticate-alola,alola-route-17-northeast
raticate-alola,alola-route-17-west
raticate-alola,akala-outskirts-area
raticate-alola,ancient-poni-path-area
raticate-alola,malie-city-outer-cape
raticate-alola,mount-lanakila-base
raticate-alola,poni-gauntlet-area
raticate-alola,poni-grove-area
raticate-alola,poni-plains-center
raticate-alola,poni-plains-east
raticate-alola,poni-plains-north
raticate-alola,poni-plains-west
raticate-alola,poni-wilds-area
raticate-alola,tapu-village-area
voltorb,sinnoh-route-218-area
voltorb,kanto-route-10-area
